Ime,Visina,Lokacija
Šilentabor,751,"45,6502°N 14,2073°"
Bloško jezero,748,"45,7859°N 14,5158°"
Veliko Gradišče,742,"45,64012°N 13,92863°"
Dom na Goropekah,742,"46,03456°N 14,12581°"
Planinski dom pod Ježo,740,"46,1634°N 13,6692°"
Sveti Gregor na Slemenih,737,"45,7844°N 14,6409°"
Hrpeljska gora,737,"45,58184°N 13,95011°"
Škavnica,734,"45,84967°N 13,98185°"
Koča na Planini nad Vrhniko,733,"45,97158°N 14,2517°"
Koča na Kavcu,730,"45,9227°N 14,4416°"
Čičer,726,"46,12595°N 13,67064°"
Šenčurjev vrh,725,"45,9392°N 14,1739°"
Sveti Urh (Zavratec),724,"45,9912°N 14,1317°"
Sveti Martin (Šilentabor),723,"45,6447°N 14,2082°"
Primož,718,"45,67011°N 14,20253°"
Planina Jegno,715,"45,54981°N 13,96922°"
Stari grad,703,"45,8252°N 14,2741°"
Mali Mošenik,700,
Grad Lož (Pusti grad),698,"45,7247°N 14,472°"
Sveti Janez Krstnik (Goropeke),682,"46,0371°N 14,1212°"
Sveta Gora,681,"45,99951°N 13,65473°"
Sv. Katarina nad Novokračinami,675,"45,4863°N 14,2953°"
Sveta Barbara (Ravnik pri Hotedršici),674,"45,9208°N 14,1568°"
Goropeški grič (Pikrej),672,"46,0413°N 14,1202°"
Skozno,671,"45,95898°N 13,73065°"
Kokoš,670,"45,64452°N 13,89993°"
Rajna peč,656,"45,98918°N 14,22296°"
Vodice,651,"46,01438°N 13,63623°"
Jampršnik,649,"45,50923°N 13,9353°"
Škabrijel,646,"45,97629°N 13,67757°"
Trstelj,643,"45,85784°N 13,70382°"
Rimska trdnjava (Lanišče),635,"45,8883°N 14,1635°"
Frančiškov hrib,632,"45,9954°N 13,6612°"
Stol (Črni hribi),629,"45,85884°N 13,69435°"
Strmica,626,"45,9486°N 14,2359°"
Lovska koča Plehanov laz,625,"45,9309°N 14,424°"
Partizanska bolnica Krvavice,620,"45,90518°N 14,48598°"
Kuk nad Paljevim,612,"46,0277°N 13,6198°"
Lovski dom pod Glavico,610,"45,58166°N 13,93933°"
Stjenkova koča na Trstelju,610,"45,8571°N 13,70593°"
Sabotin,609,"45,98846°N 13,63465°"
Vitovski hrib,604,"45,94072°N 13,76798°"
Stari tabor,603,"45,68078°N 13,92199°"
Unška koliševka,594,"45,8156°N 14,2659°"
Zidovnik (Sedovnik),575,"45,70275°N 13,88774°"
Sveti Tomaž (Planinca),572,"45,9558°N 14,447°"
Soteska Pekel 5. slap,570,"45,88241°N 14,36896°"
Stolovec,563,"45,86074°N 13,6841°"
Sveta Ana (Razguri),560,"45,7827°N 13,9443°"
Dom na Sabotinu,560,"45,99102°N 13,63133°"
Sveti Socerb (Vipavska brda),555,"45,7939°N 13,945°"
Stari grad nad Želimljami,555,"45,9052°N 14,568°"
Štanjel (Sveti Danijel),553,
Lešenjak,552,"45,86116°N 13,67826°"
Volnik,546,"45,7471°N 13,7822°"
Sekirica,545,"45,9117°N 14,2148°"
Griček,532,"45,70797°N 14,74708°"
Sveti Ambrož (Tabor),531,"45,8535°N 13,6893°"
Štivanski log,530,"45,7434°N 14,1835°"
Petelinjsko jezero,530,"45,707°N 14,2283°"
Plaz,528,"45,84235°N 13,97218°"
Veliki hrib (kota 526),526,"45,9836°N 13,672°"
Kuren (Sveti Miklavž),526,"45,9791°N 14,2658°"
Školj sv. Pavla nad Vrtovinom,520,"45,91233°N 13,80967°"
Planinski dom v Novem Svetu,518,"45,90132°N 14,16068°"
Rakov Škocjan,517,"45,7886°N 14,2978°"
Gura,510,"45,6983°N 13,9183°"
Veliki Gradež,507,"45,4863°N 13,9268°"
Vrtovka,502,"45,86218°N 13,67029°"
Skrivski izvir,500,
Planinska jama,500,"45,81998°N 14,24582°"
Tri učke,499,"45,47721°N 13,93395°"
Kuk,498,"45,48621°N 13,91778°"
Sveta Ana,484,"45,96946°N 14,42238°"
Grčarevec,476,"45,8727°N 14,2132°"
Klada,475,"45,92206°N 14,56073°"
Marija Snežna na Gradišcah,467,"45,5396°N 13,9074°"
Veliki vrh (Črni hribi),463,"45,86692°N 13,64951°"
Mengore,453,"46,1668°N 13,72154°"
Lačna,451,"45,5051°N 13,8854°"
Laze,450,"45,86218°N 14,26532°"
Zjat,449,"45,52538°N 13,90758°"
Renški vrh,449,"45,86411°N 13,65991°"
Vitovsko jezero,445,"45,9379°N 13,772°"
Soteska Pekel 3. slap,445,"45,88648°N 14,36776°"
Sveti Jožef (Mlečnik),441,"45,9603°N 14,4146°"
Sveti Miklavž nad Vipavo,438,"45,81944°N 13,98216°"
Grad Socerb,437,"45,58941°N 13,86097°"
Fajti hrib,433,"45,86823°N 13,64284°"
Sveti Gregor na Dobravici,432,"45,93894°N 14,5429°"
Črnokalska Varda,423,"45,57945°N 13,87702°"
Ostri Vrh nad Vipavsko dolino,422,"45,8475°N 13,8781°"
Jama Vilenica,420,"45,6744°N 13,9132°"
Iški Vintgar (Vrbica),420,"45,88249°N 14,49059°"
Žalostna gora pri Preserju,418,"45,9588°N 14,3947°"
Krog,418,"45,4912°N 13,9061°"
Vrh križa,411,"45,4953°N 13,9°"
Sveti Rupert nad Drago,409,"45,94335°N 14,55504°"
Sveti Kvirik,408,"45,4636°N 13,9046°"
Grad Kostel,406,"45,50867°N 14,91031°"
Sveti Pavel (nad Ročinjem),403,"46,11353°N 13,66087°"
Izvir Nežice,390,"45,49007°N 14,88372°"
